	ERR11588428_R1_filtered.fastq.gz	ERR11588429_R1_filtered.fastq.gz	ERR11588430_R1_filtered.fastq.gz	ERR11588431_R1_filtered.fastq.gz	ERR11588432_R1_filtered.fastq.gz	ERR11588433_R1_filtered.fastq.gz	ERR11588434_R1_filtered.fastq.gz	ERR11588435_R1_filtered.fastq.gz	ERR11588436_R1_filtered.fastq.gz	ERR11588437_R1_filtered.fastq.gz
ASV_281	33	29	37	0	0	0	0	0	0	0
ASV_282	26	41	32	0	0	0	0	0	0	0
ASV_283	0	47	52	0	0	0	0	0	0	0
ASV_284	0	0	0	40	49	0	0	0	10	0
ASV_285	0	0	0	0	0	0	0	99	0	0
ASV_286	98	0	0	0	0	0	0	0	0	0
ASV_287	0	0	0	0	98	0	0	0	0	0
ASV_288	0	0	0	0	0	98	0	0	0	0
ASV_289	0	0	0	0	0	98	0	0	0	0
ASV_290	0	0	0	0	0	0	0	0	98	0
ASV_291	50	13	34	0	0	0	0	0	0	0
ASV_292	0	0	0	0	0	0	97	0	0	0
ASV_293	0	0	0	0	0	0	0	0	97	0
ASV_294	57	0	39	0	0	0	0	0	0	0
ASV_295	34	23	39	0	0	0	0	0	0	0
ASV_296	0	96	0	0	0	0	0	0	0	0
ASV_297	0	49	47	0	0	0	0	0	0	0
ASV_298	0	0	0	0	0	96	0	0	0	0
ASV_299	0	0	0	0	0	0	96	0	0	0
ASV_300	0	0	0	0	0	0	96	0	0	0
ASV_301	0	0	0	0	0	0	41	55	0	0
ASV_302	0	0	0	0	0	0	0	96	0	0
ASV_303	95	0	0	0	0	0	0	0	0	0
ASV_304	55	0	40	0	0	0	0	0	0	0
ASV_305	53	15	27	0	0	0	0	0	0	0
ASV_306	0	0	95	0	0	0	0	0	0	0
ASV_307	0	0	0	72	0	23	0	0	0	0
ASV_308	0	0	0	0	0	0	95	0	0	0
ASV_309	36	24	34	0	0	0	0	0	0	0
ASV_310	35	43	16	0	0	0	0	0	0	0
ASV_311	0	0	94	0	0	0	0	0	0	0
ASV_312	0	0	0	0	94	0	0	0	0	0
ASV_313	0	0	0	0	0	0	0	0	94	0
ASV_314	45	23	25	0	0	0	0	0	0	0
ASV_315	38	23	32	0	0	0	0	0	0	0
ASV_316	36	36	21	0	0	0	0	0	0	0
ASV_317	0	57	36	0	0	0	0	0	0	0
ASV_318	0	42	51	0	0	0	0	0	0	0
ASV_319	0	41	52	0	0	0	0	0	0	0
ASV_320	0	0	0	0	0	0	93	0	0	0
ASV_321	0	0	0	0	0	0	52	41	0	0
ASV_322	0	0	0	0	0	0	0	93	0	0
ASV_323	44	14	34	0	0	0	0	0	0	0
ASV_324	32	35	25	0	0	0	0	0	0	0
ASV_325	0	0	0	0	0	92	0	0	0	0
ASV_326	0	0	0	0	0	0	52	40	0	0
ASV_327	33	33	25	0	0	0	0	0	0	0
ASV_328	0	0	0	36	38	0	0	0	8	9
ASV_329	0	0	0	31	43	17	0	0	0	0
ASV_330	0	0	0	0	0	0	0	0	91	0
ASV_331	40	30	20	0	0	0	0	0	0	0
ASV_332	22	25	16	0	0	0	27	0	0	0
ASV_333	22	27	41	0	0	0	0	0	0	0
ASV_334	20	39	31	0	0	0	0	0	0	0
ASV_335	0	55	35	0	0	0	0	0	0	0
ASV_336	56	33	0	0	0	0	0	0	0	0
ASV_337	35	0	54	0	0	0	0	0	0	0
ASV_338	0	0	89	0	0	0	0	0	0	0
ASV_339	0	0	0	0	0	89	0	0	0	0
ASV_340	0	0	0	0	0	0	89	0	0	0
ASV_341	0	0	0	0	0	0	44	45	0	0
ASV_342	0	0	0	0	0	0	30	59	0	0
ASV_343	0	0	0	0	0	0	0	0	89	0
ASV_344	32	37	19	0	0	0	0	0	0	0
ASV_345	0	70	0	0	0	0	18	0	0	0
